year,city,country,avg_temp
1743,Helsinki,Finland,1.55
1744,Helsinki,Finland,6.32
1745,Helsinki,Finland,-5.95
1746,Helsinki,Finland,
1747,Helsinki,Finland,
1748,Helsinki,Finland,
1749,Helsinki,Finland,
1750,Helsinki,Finland,5.14
1751,Helsinki,Finland,4.68
1752,Helsinki,Finland,-0.29
1753,Helsinki,Finland,4.14
1754,Helsinki,Finland,4.15
1755,Helsinki,Finland,4.05
1756,Helsinki,Finland,4.47
1757,Helsinki,Finland,4.75
1758,Helsinki,Finland,2.66
1759,Helsinki,Finland,4.08
1760,Helsinki,Finland,2.79
1761,Helsinki,Finland,4.55
1762,Helsinki,Finland,4.22
1763,Helsinki,Finland,3.35
1764,Helsinki,Finland,4.55
1765,Helsinki,Finland,4.22
1766,Helsinki,Finland,4.75
1767,Helsinki,Finland,3.99
1768,Helsinki,Finland,3.35
1769,Helsinki,Finland,4.03
1770,Helsinki,Finland,4.15
1771,Helsinki,Finland,3.25
1772,Helsinki,Finland,3.77
1773,Helsinki,Finland,5.33
1774,Helsinki,Finland,4.01
1775,Helsinki,Finland,5.71
1776,Helsinki,Finland,4.68
1777,Helsinki,Finland,3.96
1778,Helsinki,Finland,4.23
1779,Helsinki,Finland,5.62
1780,Helsinki,Finland,3.85
1781,Helsinki,Finland,4.38
1782,Helsinki,Finland,3.29
1783,Helsinki,Finland,4.43
1784,Helsinki,Finland,3.29
1785,Helsinki,Finland,2.77
1786,Helsinki,Finland,3.14
1787,Helsinki,Finland,4.31
1788,Helsinki,Finland,3.32
1789,Helsinki,Finland,4.84
1790,Helsinki,Finland,4.23
1791,Helsinki,Finland,5.24
1792,Helsinki,Finland,4.18
1793,Helsinki,Finland,4.76
1794,Helsinki,Finland,5.70
1795,Helsinki,Finland,3.74
1796,Helsinki,Finland,4.70
1797,Helsinki,Finland,5.69
1798,Helsinki,Finland,5.15
1799,Helsinki,Finland,3.24
1800,Helsinki,Finland,3.73
1801,Helsinki,Finland,4.61
1802,Helsinki,Finland,4.07
1803,Helsinki,Finland,3.26
1804,Helsinki,Finland,3.77
1805,Helsinki,Finland,3.40
1806,Helsinki,Finland,3.97
1807,Helsinki,Finland,3.86
1808,Helsinki,Finland,3.54
1809,Helsinki,Finland,2.24
1810,Helsinki,Finland,2.55
1811,Helsinki,Finland,4.19
1812,Helsinki,Finland,2.64
1813,Helsinki,Finland,4.15
1814,Helsinki,Finland,2.98
1815,Helsinki,Finland,3.84
1816,Helsinki,Finland,3.51
1817,Helsinki,Finland,3.75
1818,Helsinki,Finland,4.62
1819,Helsinki,Finland,4.41
1820,Helsinki,Finland,3.52
1821,Helsinki,Finland,4.21
1822,Helsinki,Finland,6.07
1823,Helsinki,Finland,4.27
1824,Helsinki,Finland,4.87
1825,Helsinki,Finland,4.54
1826,Helsinki,Finland,5.98
1827,Helsinki,Finland,4.65
1828,Helsinki,Finland,3.39
1829,Helsinki,Finland,2.07
1830,Helsinki,Finland,3.73
1831,Helsinki,Finland,3.95
1832,Helsinki,Finland,4.23
1833,Helsinki,Finland,4.46
1834,Helsinki,Finland,4.37
1835,Helsinki,Finland,3.68
1836,Helsinki,Finland,3.88
1837,Helsinki,Finland,3.86
1838,Helsinki,Finland,2.49
1839,Helsinki,Finland,3.46
1840,Helsinki,Finland,2.83
1841,Helsinki,Finland,4.32
1842,Helsinki,Finland,4.48
1843,Helsinki,Finland,4.56
1844,Helsinki,Finland,2.52
1845,Helsinki,Finland,3.23
1846,Helsinki,Finland,4.43
1847,Helsinki,Finland,4.16
1848,Helsinki,Finland,4.34
1849,Helsinki,Finland,3.30
1850,Helsinki,Finland,3.57
1851,Helsinki,Finland,4.48
1852,Helsinki,Finland,3.29
1853,Helsinki,Finland,4.25
1854,Helsinki,Finland,4.62
1855,Helsinki,Finland,3.27
1856,Helsinki,Finland,2.36
1857,Helsinki,Finland,4.38
1858,Helsinki,Finland,5.04
1859,Helsinki,Finland,5.25
1860,Helsinki,Finland,3.78
1861,Helsinki,Finland,4.04
1862,Helsinki,Finland,1.96
1863,Helsinki,Finland,5.75
1864,Helsinki,Finland,3.51
1865,Helsinki,Finland,3.47
1866,Helsinki,Finland,4.22
1867,Helsinki,Finland,1.72
1868,Helsinki,Finland,4.35
1869,Helsinki,Finland,4.75
1870,Helsinki,Finland,3.38
1871,Helsinki,Finland,2.32
1872,Helsinki,Finland,5.38
1873,Helsinki,Finland,4.77
1874,Helsinki,Finland,4.70
1875,Helsinki,Finland,2.14
1876,Helsinki,Finland,3.05
1877,Helsinki,Finland,3.20
1878,Helsinki,Finland,5.08
1879,Helsinki,Finland,3.86
1880,Helsinki,Finland,3.87
1881,Helsinki,Finland,2.71
1882,Helsinki,Finland,5.21
1883,Helsinki,Finland,4.41
1884,Helsinki,Finland,4.20
1885,Helsinki,Finland,4.10
1886,Helsinki,Finland,4.42
1887,Helsinki,Finland,4.78
1888,Helsinki,Finland,2.19
1889,Helsinki,Finland,4.27
1890,Helsinki,Finland,5.12
1891,Helsinki,Finland,4.46
1892,Helsinki,Finland,2.99
1893,Helsinki,Finland,2.47
1894,Helsinki,Finland,5.20
1895,Helsinki,Finland,3.83
1896,Helsinki,Finland,4.91
1897,Helsinki,Finland,4.77
1898,Helsinki,Finland,4.62
1899,Helsinki,Finland,3.42
1900,Helsinki,Finland,3.49
1901,Helsinki,Finland,4.70
1902,Helsinki,Finland,2.25
1903,Helsinki,Finland,5.29
1904,Helsinki,Finland,3.53
1905,Helsinki,Finland,4.63
1906,Helsinki,Finland,5.22
1907,Helsinki,Finland,3.30
1908,Helsinki,Finland,3.96
1909,Helsinki,Finland,4.02
1910,Helsinki,Finland,5.59
1911,Helsinki,Finland,4.65
1912,Helsinki,Finland,3.85
1913,Helsinki,Finland,5.15
1914,Helsinki,Finland,5.27
1915,Helsinki,Finland,2.33
1916,Helsinki,Finland,4.19
1917,Helsinki,Finland,3.51
1918,Helsinki,Finland,4.34
1919,Helsinki,Finland,3.69
1920,Helsinki,Finland,5.67
1921,Helsinki,Finland,4.61
1922,Helsinki,Finland,3.69
1923,Helsinki,Finland,3.58
1924,Helsinki,Finland,4.75
1925,Helsinki,Finland,5.04
1926,Helsinki,Finland,3.60
1927,Helsinki,Finland,4.08
1928,Helsinki,Finland,4.17
1929,Helsinki,Finland,3.92
1930,Helsinki,Finland,5.84
1931,Helsinki,Finland,3.66
1932,Helsinki,Finland,5.27
1933,Helsinki,Finland,4.14
1934,Helsinki,Finland,6.51
1935,Helsinki,Finland,5.08
1936,Helsinki,Finland,5.65
1937,Helsinki,Finland,5.66
1938,Helsinki,Finland,6.45
1939,Helsinki,Finland,5.11
1940,Helsinki,Finland,3.04
1941,Helsinki,Finland,1.96
1942,Helsinki,Finland,2.40
1943,Helsinki,Finland,5.95
1944,Helsinki,Finland,5.36
1945,Helsinki,Finland,4.27
1946,Helsinki,Finland,4.56
1947,Helsinki,Finland,3.86
1948,Helsinki,Finland,5.27
1949,Helsinki,Finland,6.22
1950,Helsinki,Finland,4.80
1951,Helsinki,Finland,4.65
1952,Helsinki,Finland,3.95
1953,Helsinki,Finland,5.38
1954,Helsinki,Finland,4.73
1955,Helsinki,Finland,3.54
1956,Helsinki,Finland,2.97
1957,Helsinki,Finland,5.03
1958,Helsinki,Finland,3.53
1959,Helsinki,Finland,5.49
1960,Helsinki,Finland,4.40
1961,Helsinki,Finland,6.12
1962,Helsinki,Finland,4.10
1963,Helsinki,Finland,3.95
1964,Helsinki,Finland,4.67
1965,Helsinki,Finland,4.05
1966,Helsinki,Finland,3.28
1967,Helsinki,Finland,4.86
1968,Helsinki,Finland,3.97
1969,Helsinki,Finland,3.43
1970,Helsinki,Finland,3.91
1971,Helsinki,Finland,4.62
1972,Helsinki,Finland,5.55
1973,Helsinki,Finland,4.93
1974,Helsinki,Finland,6.03
1975,Helsinki,Finland,6.38
1976,Helsinki,Finland,3.28
1977,Helsinki,Finland,4.08
1978,Helsinki,Finland,3.18
1979,Helsinki,Finland,4.27
1980,Helsinki,Finland,4.09
1981,Helsinki,Finland,4.50
1982,Helsinki,Finland,4.88
1983,Helsinki,Finland,5.47
1984,Helsinki,Finland,5.33
1985,Helsinki,Finland,2.81
1986,Helsinki,Finland,4.25
1987,Helsinki,Finland,2.58
1988,Helsinki,Finland,5.22
1989,Helsinki,Finland,6.67
1990,Helsinki,Finland,6.07
1991,Helsinki,Finland,5.62
1992,Helsinki,Finland,5.80
1993,Helsinki,Finland,4.74
1994,Helsinki,Finland,4.66
1995,Helsinki,Finland,5.63
1996,Helsinki,Finland,4.20
1997,Helsinki,Finland,5.36
1998,Helsinki,Finland,4.71
1999,Helsinki,Finland,5.70
2000,Helsinki,Finland,6.57
2001,Helsinki,Finland,5.35
2002,Helsinki,Finland,5.54
2003,Helsinki,Finland,5.02
2004,Helsinki,Finland,5.40
2005,Helsinki,Finland,5.80
2006,Helsinki,Finland,5.91
2007,Helsinki,Finland,6.23
2008,Helsinki,Finland,6.77
2009,Helsinki,Finland,5.49
2010,Helsinki,Finland,4.36
2011,Helsinki,Finland,6.38
2012,Helsinki,Finland,5.12
2013,Helsinki,Finland,6.17
