year,city,country,avg_temp
1820,Tianjin,China,10.18
1821,Tianjin,China,11.51
1822,Tianjin,China,11.50
1823,Tianjin,China,10.96
1824,Tianjin,China,11.96
1825,Tianjin,China,11.73
1826,Tianjin,China,11.65
1827,Tianjin,China,12.20
1828,Tianjin,China,11.42
1829,Tianjin,China,11.26
1830,Tianjin,China,11.81
1831,Tianjin,China,10.57
1832,Tianjin,China,10.69
1833,Tianjin,China,11.14
1834,Tianjin,China,11.52
1835,Tianjin,China,10.79
1836,Tianjin,China,11.17
1837,Tianjin,China,10.93
1838,Tianjin,China,
1839,Tianjin,China,10.63
1840,Tianjin,China,11.29
1841,Tianjin,China,10.15
1842,Tianjin,China,11.31
1843,Tianjin,China,11.45
1844,Tianjin,China,11.57
1845,Tianjin,China,11.43
1846,Tianjin,China,11.95
1847,Tianjin,China,11.88
1848,Tianjin,China,11.56
1849,Tianjin,China,11.53
1850,Tianjin,China,10.68
1851,Tianjin,China,10.44
1852,Tianjin,China,10.65
1853,Tianjin,China,10.95
1854,Tianjin,China,11.60
1855,Tianjin,China,11.82
1856,Tianjin,China,11.42
1857,Tianjin,China,11.30
1858,Tianjin,China,11.66
1859,Tianjin,China,11.80
1860,Tianjin,China,10.40
1861,Tianjin,China,10.81
1862,Tianjin,China,10.62
1863,Tianjin,China,11.81
1864,Tianjin,China,10.97
1865,Tianjin,China,11.30
1866,Tianjin,China,11.56
1867,Tianjin,China,12.01
1868,Tianjin,China,11.66
1869,Tianjin,China,12.12
1870,Tianjin,China,11.42
1871,Tianjin,China,11.55
1872,Tianjin,China,11.39
1873,Tianjin,China,11.76
1874,Tianjin,China,11.82
1875,Tianjin,China,11.78
1876,Tianjin,China,12.28
1877,Tianjin,China,11.27
1878,Tianjin,China,11.38
1879,Tianjin,China,11.53
1880,Tianjin,China,11.14
1881,Tianjin,China,11.36
1882,Tianjin,China,11.84
1883,Tianjin,China,11.25
1884,Tianjin,China,10.82
1885,Tianjin,China,11.07
1886,Tianjin,China,11.41
1887,Tianjin,China,11.33
1888,Tianjin,China,11.13
1889,Tianjin,China,11.09
1890,Tianjin,China,11.98
1891,Tianjin,China,12.00
1892,Tianjin,China,11.21
1893,Tianjin,China,10.96
1894,Tianjin,China,12.13
1895,Tianjin,China,10.86
1896,Tianjin,China,11.34
