year,city,country,avg_temp
1841,Melbourne,Australia,13.09
1842,Melbourne,Australia,12.96
1843,Melbourne,Australia,13.34
1844,Melbourne,Australia,12.60
1845,Melbourne,Australia,13.16
1846,Melbourne,Australia,13.43
1847,Melbourne,Australia,13.03
1848,Melbourne,Australia,12.58
1849,Melbourne,Australia,12.30
1850,Melbourne,Australia,12.99
1851,Melbourne,Australia,12.97
1852,Melbourne,Australia,12.72
1853,Melbourne,Australia,12.51
1854,Melbourne,Australia,12.84
1855,Melbourne,Australia,11.43
1856,Melbourne,Australia,13.40
1857,Melbourne,Australia,13.44
1858,Melbourne,Australia,13.60
1859,Melbourne,Australia,13.17
1860,Melbourne,Australia,13.29
1861,Melbourne,Australia,13.18
1862,Melbourne,Australia,13.50
1863,Melbourne,Australia,12.96
1864,Melbourne,Australia,13.01
1865,Melbourne,Australia,12.78
1866,Melbourne,Australia,13.36
1867,Melbourne,Australia,13.37
1868,Melbourne,Australia,13.31
1869,Melbourne,Australia,13.18
1870,Melbourne,Australia,13.30
1871,Melbourne,Australia,13.50
1872,Melbourne,Australia,13.40
1873,Melbourne,Australia,13.47
1874,Melbourne,Australia,12.96
1875,Melbourne,Australia,13.09
1876,Melbourne,Australia,13.22
1877,Melbourne,Australia,13.10
1878,Melbourne,Australia,13.34
1879,Melbourne,Australia,13.02
1880,Melbourne,Australia,13.40
1881,Melbourne,Australia,13.10
1882,Melbourne,Australia,13.34
1883,Melbourne,Australia,13.42
1884,Melbourne,Australia,12.87
1885,Melbourne,Australia,13.01
1886,Melbourne,Australia,13.03
1887,Melbourne,Australia,13.47
1888,Melbourne,Australia,13.36
1889,Melbourne,Australia,13.54
1890,Melbourne,Australia,13.60
1891,Melbourne,Australia,13.11
1892,Melbourne,Australia,12.93
1893,Melbourne,Australia,13.23
1894,Melbourne,Australia,13.49
1895,Melbourne,Australia,13.53
1896,Melbourne,Australia,13.19
1897,Melbourne,Australia,13.11
1898,Melbourne,Australia,13.97
1899,Melbourne,Australia,13.24
1900,Melbourne,Australia,12.98
1901,Melbourne,Australia,13.33
1902,Melbourne,Australia,13.35
1903,Melbourne,Australia,13.18
1904,Melbourne,Australia,13.19
1905,Melbourne,Australia,12.74
1906,Melbourne,Australia,13.41
1907,Melbourne,Australia,13.10
1908,Melbourne,Australia,13.51
1909,Melbourne,Australia,12.62
1910,Melbourne,Australia,13.47
1911,Melbourne,Australia,13.13
1912,Melbourne,Australia,13.16
1913,Melbourne,Australia,13.12
1914,Melbourne,Australia,14.13
1915,Melbourne,Australia,13.13
1916,Melbourne,Australia,13.02
1917,Melbourne,Australia,13.00
1918,Melbourne,Australia,13.44
1919,Melbourne,Australia,13.87
1920,Melbourne,Australia,13.25
1921,Melbourne,Australia,13.96
1922,Melbourne,Australia,13.34
1923,Melbourne,Australia,13.21
1924,Melbourne,Australia,12.51
1925,Melbourne,Australia,13.02
1926,Melbourne,Australia,13.48
1927,Melbourne,Australia,13.18
1928,Melbourne,Australia,13.45
1929,Melbourne,Australia,12.62
1930,Melbourne,Australia,13.61
1931,Melbourne,Australia,12.73
1932,Melbourne,Australia,12.89
1933,Melbourne,Australia,13.06
1934,Melbourne,Australia,13.59
1935,Melbourne,Australia,13.02
1936,Melbourne,Australia,13.26
1937,Melbourne,Australia,13.45
1938,Melbourne,Australia,13.76
1939,Melbourne,Australia,13.41
1940,Melbourne,Australia,13.36
1941,Melbourne,Australia,13.16
1942,Melbourne,Australia,13.69
1943,Melbourne,Australia,12.68
1944,Melbourne,Australia,13.05
1945,Melbourne,Australia,13.00
1946,Melbourne,Australia,12.63
1947,Melbourne,Australia,13.47
1948,Melbourne,Australia,12.81
1949,Melbourne,Australia,12.42
1950,Melbourne,Australia,13.42
1951,Melbourne,Australia,13.56
1952,Melbourne,Australia,12.94
1953,Melbourne,Australia,13.31
1954,Melbourne,Australia,13.32
1955,Melbourne,Australia,13.24
1956,Melbourne,Australia,13.06
1957,Melbourne,Australia,13.05
1958,Melbourne,Australia,12.99
1959,Melbourne,Australia,13.79
1960,Melbourne,Australia,13.17
1961,Melbourne,Australia,14.33
1962,Melbourne,Australia,13.55
1963,Melbourne,Australia,13.51
1964,Melbourne,Australia,12.88
1965,Melbourne,Australia,13.32
1966,Melbourne,Australia,13.10
1967,Melbourne,Australia,13.52
1968,Melbourne,Australia,13.62
1969,Melbourne,Australia,13.39
1970,Melbourne,Australia,13.12
1971,Melbourne,Australia,13.58
1972,Melbourne,Australia,13.73
1973,Melbourne,Australia,13.69
1974,Melbourne,Australia,13.82
1975,Melbourne,Australia,13.90
1976,Melbourne,Australia,13.55
1977,Melbourne,Australia,13.50
1978,Melbourne,Australia,13.48
1979,Melbourne,Australia,13.90
1980,Melbourne,Australia,14.12
1981,Melbourne,Australia,14.26
1982,Melbourne,Australia,14.03
1983,Melbourne,Australia,13.72
1984,Melbourne,Australia,13.25
1985,Melbourne,Australia,13.70
1986,Melbourne,Australia,13.19
1987,Melbourne,Australia,13.47
1988,Melbourne,Australia,14.53
1989,Melbourne,Australia,13.86
1990,Melbourne,Australia,14.16
1991,Melbourne,Australia,13.77
1992,Melbourne,Australia,13.31
1993,Melbourne,Australia,13.81
1994,Melbourne,Australia,13.52
1995,Melbourne,Australia,13.14
1996,Melbourne,Australia,13.05
1997,Melbourne,Australia,13.93
1998,Melbourne,Australia,13.61
1999,Melbourne,Australia,14.20
2000,Melbourne,Australia,14.32
2001,Melbourne,Australia,14.18
2002,Melbourne,Australia,14.08
2003,Melbourne,Australia,13.99
2004,Melbourne,Australia,13.74
2005,Melbourne,Australia,14.38
2006,Melbourne,Australia,13.99
2007,Melbourne,Australia,14.99
2008,Melbourne,Australia,14.11
2009,Melbourne,Australia,14.65
2010,Melbourne,Australia,14.23
2011,Melbourne,Australia,14.19
2012,Melbourne,Australia,14.27
2013,Melbourne,Australia,14.74
